ID	Pathway Number for MaAsLin	MLDAfe	MLDIgar	MLDIgua	MLDRV	Merged_LrAfef	Merged_LrIgarf	Merged_LrNEs1f	Merged_LrNEs2f	Merged_LrRVf	Merged_LrStH1f	Merged_LrStH2f	P1	P2	P3	P4	P7	P8	PoolRosalia	SAfe	SIgar	SIgua
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Citrobacter.s__Citrobacter_portucalensis	16	0	0	0	0	0	0	0	0	0	0	0	4.5579	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	17	0	0	0	0	0	0	0	0	0	0	0	0	21.7109	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Kluyvera.s__Kluyvera_ascorbata	18	0	0	0	0	0	0	0	0	0	0	0	16.6241	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Serratia.s__Serratia_marcescens	19	0	0	0	0	0	0	0	0	0	0	0	0	0	61.3908	38.9779	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	20	69.1948	0	0	0	0	72.2408	0	0	0	88.3779	0	0	0	0	14.6935	65.551	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	21	0	0	0	0	0	0	0	0	0	0	0	39.9093	81.6681	84.3449	85.7179	38.5674	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Serratia.s__Serratia_marcescens	22	0	0	0	0	0	0	0	0	0	0	0	0	0	57.9807	35.7199	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	23	0	0	0	0	0	0	0	0	0	0	0	0	10.8014	0	19.4501	0	0	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	24	0	0	0	0	0	0	0	0	0	0	0	31.2135	29.8938	0	17.8386	23.2731	0	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.43605	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	26	0	0	0	0	0	0	0	0	0	0	0	0	58.4435	0	0	3.26221	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Escherichia.s__Escherichia_coli	27	0	0	0	0	0	0	0	0	0	0	0	0	4.4052	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	28	0	0	0	0	0	0	0	0	0	0	0	0	15.4102	0	0	3.06419	0	0	0	0	0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.953	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	30	0	129.034	0	0	0	151.49	0	104.007	0	0	0	76.1722	151.845	110.92	91.9454	154.646	145.325	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_biavatii	31	0	0	0	0	0	89.3815	0	57.0089	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterococcus.s__Enterococcus_italicus	32	0	0	0	0	0	0	0	0	0	0	0	0	46.0864	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Ewingella.s__Ewingella_americana	33	0	0	0	0	0	0	0	0	0	0	0	30.1434	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Leuconostoc.s__Leuconostoc_citreum	34	0	0	0	0	0	0	0	0	0	0	0	0	42.292	0	13.095	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Paraburkholderia.s__Paraburkholderia_insulsa	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.388	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Pseudomonas.s__Pseudomonas_helleri	36	0	0	0	0	0	0	0	0	0	0	0	0	20.0441	0	0	17.7407	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Serratia.s__Serratia_marcescens	37	0	0	0	0	0	0	0	0	0	0	0	0	0	52.1148	34.9325	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	38	0	49.4564	0	0	0	34.0925	0	0	0	0	0	0	13.6121	0	20.4674	52.3391	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	39	109.614	141.915	0	0	0	173.058	0	106.4	0	0	0	62.96	170.717	113.133	96.4103	163.331	113.912	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_biavatii	40	0	0	0	0	0	102.462	0	62.5036	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Enterococcus.s__Enterococcus_faecalis	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69446	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Enterococcus.s__Enterococcus_italicus	42	0	0	0	0	0	0	0	0	0	0	0	0	52.6698	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Ewingella.s__Ewingella_americana	43	0	0	0	0	0	0	0	0	0	0	0	27.0481	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Leuconostoc.s__Leuconostoc_citreum	44	0	0	0	0	0	0	0	0	0	0	0	0	49.5535	0	17.0361	31.6324	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Paraburkholderia.s__Paraburkholderia_insulsa	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.8308	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Pseudomonas.s__Pseudomonas_helleri	46	0	0	0	0	0	0	0	0	0	0	0	0	21.2982	0	0	17.3677	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Serratia.s__Serratia_marcescens	47	0	0	0	0	0	0	0	0	0	0	0	0	0	54.1803	35.7941	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	48	41.0815	57.7756	0	0	0	47.5343	0	0	0	0	0	0	7.30443	0	22.5837	46.9407	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I	49	0	67.8955	0	0	0	93.6075	0	0	0	0	0	106.628	179.992	82.5633	108.943	154.82	93.3902	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Citrobacter.s__Citrobacter_portucalensis	50	0	0	0	0	0	0	0	0	0	0	0	7.1845	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Enterococcus.s__Enterococcus_italicus	51	0	0	0	0	0	0	0	0	0	0	0	0	28.0193	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	52	0	0	0	0	0	0	0	0	0	0	0	0	33.91	0	7.72007	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Ewingella.s__Ewingella_americana	53	0	0	0	0	0	0	0	0	0	0	0	21.839	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Leuconostoc.s__Leuconostoc_citreum	54	0	0	0	0	0	0	0	0	0	0	0	0	52.5837	0	23.7262	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Paraburkholderia.s__Paraburkholderia_insulsa	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.8934	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Pseudomonas.s__Pseudomonas_helleri	56	0	0	0	0	0	0	0	0	0	0	0	0	16.3897	0	0	18.4997	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Serratia.s__Serratia_marcescens	57	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2527	38.7398	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7816	45.6634	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	59	0	39.094	28.964	0	0	67.2953	0	0	0	12.0773	0	98.1851	99.0808	137.617	92.278	84.5043	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Burkholderia.s__Burkholderia_vietnamiensis	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.82559	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Citrobacter.s__Citrobacter_europaeus	61	0	0	0	0	0	0	0	0	0	0	0	3.45756	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Citrobacter.s__Citrobacter_portucalensis	62	0	0	0	0	0	0	0	0	0	0	0	8.85723	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	63	0	0	0	0	0	0	0	0	0	0	0	0	35.2469	0	15.9547	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Ewingella.s__Ewingella_americana	64	0	0	0	0	0	0	0	0	0	0	0	29.7936	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Kluyvera.s__Kluyvera_ascorbata	65	0	0	0	0	0	0	0	0	0	0	0	11.6366	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Serratia.s__Serratia_marcescens	66	0	0	0	0	0	0	0	0	0	0	0	0	0	104.809	43.9205	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	67	0	35.1546	26.6902	0	0	33.7406	0	0	0	12.0773	0	31.6905	9.27618	0	12.6372	50.4598	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)	68	0	0	0	0	0	0	0	0	0	0	0	0	25.1478	0	23.6057	9.84345	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_coli	69	0	0	0	0	0	0	0	0	0	0	0	0	9.38145	0	8.41997	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93373	5.47328	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	71	0	0	0	0	0	0	0	0	0	0	0	0	74.8377	39.8812	58.8496	52.4225	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Pseudomonas.s__Pseudomonas_helleri	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.822	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Serratia.s__Serratia_marcescens	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6987	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4934	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	75	97.3126	277.162	194.06	0	0	283.115	0	164.466	0	0	0	84.6647	141.972	142.194	102.855	170.92	172.051	0	262.967	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bifidobacterium.s__Bifidobacterium_biavatii	76	82.3164	136.697	102.296	0	0	152.864	0	63.835	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bifidobacterium.s__Bifidobacterium_callitrichos	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.394	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bifidobacterium.s__Bifidobacterium_catulorum	78	0	38.5162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bifidobacterium.s__Bifidobacterium_tissieri	79	0	0	0	0	0	24.0137	0	26.115	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Burkholderia.s__Burkholderia_vietnamiensis	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4034	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Citrobacter.s__Citrobacter_europaeus	81	0	0	0	0	0	0	0	0	0	0	0	7.02837	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Citrobacter.s__Citrobacter_portucalensis	82	0	0	0	0	0	0	0	0	0	0	0	7.48567	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Enterococcus.s__Enterococcus_italicus	83	0	0	0	0	0	0	0	0	0	0	0	0	20.8554	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	84	0	0	0	0	0	0	0	0	0	0	0	0	51.0353	0	9.9786	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Kluyvera.s__Kluyvera_ascorbata	85	0	0	0	0	0	0	0	0	0	0	0	6.6649	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Paraburkholderia.s__Paraburkholderia_insulsa	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.043	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_helleri	87	0	0	0	0	0	0	0	0	0	0	0	0	24.6581	0	0	16.6928	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Serratia.s__Serratia_marcescens	88	0	0	0	0	0	0	0	0	0	0	0	0	0	118.77	48.9476	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	89	0	0	0	0	0	43.9948	0	0	0	0	0	13.5888	6.69456	0	27.4215	104.939	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	90	0	0	0	0	0	0	0	0	0	64.8063	0	113.505	125.98	131.433	112.395	209.988	62.9692	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Burkholderia.s__Burkholderia_vietnamiensis	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7653	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Citrobacter.s__Citrobacter_europaeus	92	0	0	0	0	0	0	0	0	0	0	0	7.80301	0	0	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Citrobacter.s__Citrobacter_portucalensis	93	0	0	0	0	0	0	0	0	0	0	0	9.36251	0	0	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	94	0	0	0	0	0	0	0	0	0	0	0	0	28.042	0	16.0345	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Ewingella.s__Ewingella_americana	95	0	0	0	0	0	0	0	0	0	0	0	41.7367	0	0	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Paraburkholderia.s__Paraburkholderia_insulsa	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.1243	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudomonas.s__Pseudomonas_helleri	97	0	0	0	0	0	0	0	0	0	0	0	0	19.9823	0	0	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Serratia.s__Serratia_marcescens	98	0	0	0	0	0	0	0	0	0	0	0	0	0	68.8366	36.282	0	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	99	0	0	0	0	0	0	0	0	0	64.8063	0	0	0	0	15.3125	79.5956	0	0	0	0	0
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate"	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4469	47.0058	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	101	0	0	0	0	0	0	0	0	0	0	0	28.7168	77.2484	0	0	4.85819	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Escherichia.s__Escherichia_coli	102	0	0	0	0	0	0	0	0	0	0	0	0	8.43587	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	103	0	0	0	0	0	0	0	0	0	0	0	0	15.285	0	0	4.52221	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	104	0	43.5503	0	0	0	59.1346	0	0	0	0	0	62.6274	157.553	85.4185	92.8524	113.116	80.8552	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Burkholderia.s__Burkholderia_vietnamiensis	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0445	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Enterococcus.s__Enterococcus_italicus	106	0	0	0	0	0	0	0	0	0	0	0	0	40.0003	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Escherichia.s__Escherichia_coli	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05115	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Ewingella.s__Ewingella_americana	108	0	0	0	0	0	0	0	0	0	0	0	24.0683	0	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_curvatus	109	0	0	0	0	0	0	0	0	0	0	0	0	19.8718	0	6.21646	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Leuconostoc.s__Leuconostoc_citreum	110	0	0	0	0	0	0	0	0	0	0	0	0	46.7803	0	19.1059	56.3974	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Paraburkholderia.s__Paraburkholderia_insulsa	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.911	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Pseudomonas.s__Pseudomonas_helleri	112	0	0	0	0	0	0	0	0	0	0	0	0	40.8564	0	0	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Serratia.s__Serratia_marcescens	113	0	0	0	0	0	0	0	0	0	0	0	0	0	58.3035	32.999	0	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	114	0	40.6741	0	0	0	47.6455	0	0	0	0	0	14.0031	4.6131	0	17.5269	36.6298	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I	115	0	30.5001	0	0	0	0	0	0	0	0	0	53.4758	146.44	0	80.4904	120.491	80.8552	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Enterococcus.s__Enterococcus_faecalis	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69814	4.43255	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Enterococcus.s__Enterococcus_italicus	117	0	0	0	0	0	0	0	0	0	0	0	0	44.1562	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2879	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Ewingella.s__Ewingella_americana	119	0	0	0	0	0	0	0	0	0	0	0	33.3253	0	0	0	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Lactobacillus.s__Lactobacillus_curvatus	120	0	0	0	0	0	0	0	0	0	0	0	0	19.8718	0	6.21646	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Leuconostoc.s__Leuconostoc_citreum	121	0	0	0	0	0	0	0	0	0	0	0	0	43.5105	0	24.0551	59.0745	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Paraburkholderia.s__Paraburkholderia_insulsa	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.911	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Pseudomonas.s__Pseudomonas_helleri	123	0	0	0	0	0	0	0	0	0	0	0	0	30.4307	0	0	18.1227	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|g__Serratia.s__Serratia_marcescens	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.87024	0	0	0	0	0	0
COA-PWY: coenzyme A biosynthesis I|unclassified	125	0	29.5947	0	0	0	0	0	0	0	0	0	7.42806	0	0	15.3394	31.996	0	0	0	0	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	126	0	0	0	0	0	0	0	0	0	0	0	32.5332	42.6694	0	17.8008	32.6969	79.081	0	0	0	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Escherichia.s__Escherichia_coli	127	0	0	0	0	0	0	0	0	0	0	0	0	14.6924	0	5.18424	0	0	0	0	0	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Paraburkholderia.s__Paraburkholderia_insulsa	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.9561	0	0	0	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|unclassified	129	0	0	0	0	0	0	0	0	0	0	0	0	3.3987	0	11.8729	19.1104	0	0	0	0	0
CODH-PWY: reductive acetyl coenzyme A pathway	130	0	0	0	0	0	0	0	0	0	0	0	28.8347	121.557	0	30.583	60.1402	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	131	0	0	0	0	0	0	0	0	0	0	0	29.2081	45.8655	0	23.0271	0	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis|unclassified	132	0	0	0	0	0	0	0	0	0	0	0	0	6.55822	0	8.49678	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	133	0	73.9379	0	0	0	102.853	0	0	0	0	0	102.651	160.323	85.2883	97.7184	157.666	98.3422	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Enterococcus.s__Enterococcus_italicus	134	0	0	0	0	0	0	0	0	0	0	0	0	28.6255	0	0	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08212	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Ewingella.s__Ewingella_americana	136	0	0	0	0	0	0	0	0	0	0	0	23.3064	0	0	0	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Paraburkholderia.s__Paraburkholderia_insulsa	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0313	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Pseudomonas.s__Pseudomonas_helleri	138	0	0	0	0	0	0	0	0	0	0	0	0	17.5701	0	0	18.8315	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Serratia.s__Serratia_marcescens	139	0	0	0	0	0	0	0	0	0	0	0	0	0	45.4046	39.7928	0	0	0	0	0	0
