Supplementary Table S4. Listing of significantly differentially abundant functional Metacyc pathways. The 'metadata' column refers to host classification by taxon or environment and corresponds to the 'value' column which can be 'captivity' or 'wild' for 'Host environment' or 'Leontopithecus rosalia' or 'Callithrix' for 'Host Taxon'
Feature ID	MetaCyc Pathway Name	General Metacyc Functional Class	metadata	value	coef	stderr	N	N.not.0	pval	qval
X652	PWY-5345_superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	Amino Acid Biosynthesis	Host Environment	Captivity	0.39878813448708	0.130636726527535	21	5	0.00685272641751626	0.15640377351795
X701	PWY-5675_nitrate_reduction_V_(assimilatory)	Nitrogen Compound Metabolism	Host Environment	Captivity	0.385370986299337	0.126580886240698	21	5	0.00697616235519997	0.15640377351795
X798	PWY-5918_superpathay_of_heme_biosynthesis_from_glutamate	Biosynthesis	Host Environment	Captivity	0.276898227743997	0.08796275940234	21	5	0.00556386383014267	0.15640377351795
X890	PWY-6147_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.516100023776994	0.172920220715391	21	5	0.00794678044986342	0.15640377351795
X911	PWY-6163_chorismate_biosynthesis_from_3-dehydroquinate	Chorismate Biosynthesis	Host Environment	Captivity	0.317144896662917	0.107455999515016	21	8	0.00854082039688467	0.15640377351795
X927	PWY-621_sucrose_degradation_III_(sucrose_invertase)	Carbohydrate Degradation 	Host Environment	Captivity	0.337968250840133	0.111807527358832	21	5	0.0073139018514619	0.15640377351795
X369	NAGLIPASYN-PWY_lipid_IVA_biosynthesis	Biosynthesis	Host Environment	Captivity	0.388400485101953	0.137154258785562	21	5	0.0110547942162689	0.190532629727458
X49	ARO-PWY_chorismate_biosynthesis_I	Aromatic Compound Biosynthesis	Host Environment	Captivity	0.287062944815346	0.102544724376516	21	8	0.0118521390976638	0.192926486423084
X115	COA-PWY_coenzyme_A_biosynthesis_I	Cofactor, Carrier, and Vitamin Biosynthesis	Host Environment	Captivity	0.334334511783519	0.11896857844923	21	6	0.0115788263793189	0.192926486423084
X611	"PWY-5138_unsaturated,_even_numbered_fatty_acid_&beta;-oxidation"	Fatty Acid and Lipid Degradation	Host Environment	Captivity	0.272133060660486	0.0997958090847958	21	5	0.0138371352137154	0.219150303655061
X573	PWY-5100_pyruvate_fermentation_to_acetate_and_lactate_II	Fermentation	Host Taxon	Leontopithecus rosalia	-0.497571701494039	0.18621510658627	21	6	0.0155472236101113	0.239754553566454
